gameid,tourneyid,tie,winnerid,winnername,winnerscore,winneroldrating,winnernewrating,winnerpos,loserid,losername,loserscore,loseroldrating,losernewrating,loserpos,round,division,date
1,1,FALSE,268,Harriette Lakernick,0,1568,1684,1,429,Patricia Barrett,0,1915,1872,3,1,1,12/6/1998
2,1,FALSE,268,Harriette Lakernick,0,1568,1684,1,435,Chris Cree,0,1840,1798,6,2,1,12/6/1998
3,1,FALSE,268,Harriette Lakernick,0,1568,1684,1,441,Caesar Jaramillo,0,1622,1606,10,3,1,12/6/1998
4,1,FALSE,268,Harriette Lakernick,0,1568,1684,1,456,Mike Chitwood,0,1612,1600,9,4,1,12/6/1998
5,1,FALSE,268,Harriette Lakernick,0,1568,1684,1,1334,Nancy Scott,0,1537,1590,4,6,1,12/6/1998
6,1,FALSE,268,Harriette Lakernick,0,1568,1684,1,454,Mary Rhoades,0,1676,1647,8,8,1,12/6/1998
7,1,FALSE,268,Harriette Lakernick,0,1568,1684,1,5766,Stephen Fierros,0,1647,1640,7,9,1,12/6/1998
8,1,FALSE,268,Harriette Lakernick,0,1568,1684,1,442,Matt Dewaelsche,0,1739,1747,2,10,1,12/6/1998
9,1,FALSE,429,Patricia Barrett,0,1915,1872,3,456,Mike Chitwood,0,1612,1600,9,3,1,12/6/1998
10,1,FALSE,429,Patricia Barrett,0,1915,1872,3,1334,Nancy Scott,0,1537,1590,4,5,1,12/6/1998
11,1,FALSE,429,Patricia Barrett,0,1915,1872,3,431,Sam Dick-Onuoha,0,1557,1650,5,6,1,12/6/1998
12,1,FALSE,429,Patricia Barrett,0,1915,1872,3,435,Chris Cree,0,1840,1798,6,9,1,12/6/1998
13,1,FALSE,429,Patricia Barrett,0,1915,1872,3,435,Chris Cree,0,1840,1798,6,10,1,12/6/1998
14,1,FALSE,429,Patricia Barrett,0,1915,1872,3,431,Sam Dick-Onuoha,0,1557,1650,5,11,1,12/6/1998
15,1,FALSE,431,Sam Dick-Onuoha,0,1557,1650,5,435,Chris Cree,0,1840,1798,6,3,1,12/6/1998
16,1,FALSE,431,Sam Dick-Onuoha,0,1557,1650,5,454,Mary Rhoades,0,1676,1647,8,4,1,12/6/1998
17,1,FALSE,431,Sam Dick-Onuoha,0,1557,1650,5,268,Harriette Lakernick,0,1568,1684,1,7,1,12/6/1998
18,1,FALSE,431,Sam Dick-Onuoha,0,1557,1650,5,441,Caesar Jaramillo,0,1622,1606,10,8,1,12/6/1998
19,1,FALSE,431,Sam Dick-Onuoha,0,1557,1650,5,456,Mike Chitwood,0,1612,1600,9,9,1,12/6/1998
20,1,FALSE,431,Sam Dick-Onuoha,0,1557,1650,5,5766,Stephen Fierros,0,1647,1640,7,10,1,12/6/1998
21,1,FALSE,435,Chris Cree,0,1840,1798,6,1334,Nancy Scott,0,1537,1590,4,1,1,12/6/1998
22,1,FALSE,435,Chris Cree,0,1840,1798,6,441,Caesar Jaramillo,0,1622,1606,10,4,1,12/6/1998
23,1,FALSE,435,Chris Cree,0,1840,1798,6,454,Mary Rhoades,0,1676,1647,8,5,1,12/6/1998
24,1,FALSE,435,Chris Cree,0,1840,1798,6,5766,Stephen Fierros,0,1647,1640,7,7,1,12/6/1998
25,1,FALSE,435,Chris Cree,0,1840,1798,6,454,Mary Rhoades,0,1676,1647,8,11,1,12/6/1998
26,1,FALSE,440,John Dalton,0,1093,1071,5,5946,Mark Setty,0,922,776,17,2,3,12/6/1998
27,1,FALSE,440,John Dalton,0,1093,1071,5,1712,Dave Rubin,0,883,873,11,3,3,12/6/1998
28,1,FALSE,440,John Dalton,0,1093,1071,5,4412,Ivy Kaminsky,0,970,990,4,5,3,12/6/1998
29,1,FALSE,440,John Dalton,0,1093,1071,5,3251,Roger Dimick,0,765,825,8,6,3,12/6/1998
30,1,FALSE,440,John Dalton,0,1093,1071,5,452,Bruce Shuman,0,1002,1010,6,7,3,12/6/1998
31,1,FALSE,440,John Dalton,0,1093,1071,5,2574,Waheed Thompson,0,1053,1036,10,11,3,12/6/1998
32,1,FALSE,441,Caesar Jaramillo,0,1622,1606,10,429,Patricia Barrett,0,1915,1872,3,2,1,12/6/1998
33,1,FALSE,441,Caesar Jaramillo,0,1622,1606,10,442,Matt Dewaelsche,0,1739,1747,2,6,1,12/6/1998
34,1,FALSE,441,Caesar Jaramillo,0,1622,1606,10,1334,Nancy Scott,0,1537,1590,4,7,1,12/6/1998
35,1,FALSE,441,Caesar Jaramillo,0,1622,1606,10,456,Mike Chitwood,0,1612,1600,9,11,1,12/6/1998
36,1,FALSE,442,Matt Dewaelsche,0,1739,1747,2,431,Sam Dick-Onuoha,0,1557,1650,5,1,1,12/6/1998
37,1,FALSE,442,Matt Dewaelsche,0,1739,1747,2,454,Mary Rhoades,0,1676,1647,8,2,1,12/6/1998
38,1,FALSE,442,Matt Dewaelsche,0,1739,1747,2,429,Patricia Barrett,0,1915,1872,3,4,1,12/6/1998
39,1,FALSE,442,Matt Dewaelsche,0,1739,1747,2,268,Harriette Lakernick,0,1568,1684,1,5,1,12/6/1998
40,1,FALSE,442,Matt Dewaelsche,0,1739,1747,2,456,Mike Chitwood,0,1612,1600,9,7,1,12/6/1998
41,1,FALSE,442,Matt Dewaelsche,0,1739,1747,2,435,Chris Cree,0,1840,1798,6,8,1,12/6/1998
42,1,FALSE,442,Matt Dewaelsche,0,1739,1747,2,268,Harriette Lakernick,0,1568,1684,1,11,1,12/6/1998
43,1,FALSE,444,Maureen Delgado,0,1536,1507,11,465,Carl Hickerson,0,1307,1282,17,2,2,12/6/1998
44,1,FALSE,444,Maureen Delgado,0,1536,1507,11,2121,Cheryl Tyler,0,1496,1482,7,3,2,12/6/1998
45,1,FALSE,444,Maureen Delgado,0,1536,1507,11,491,Mary Lou Thurman,0,1224,1216,20,5,2,12/6/1998
46,1,FALSE,444,Maureen Delgado,0,1536,1507,11,1335,Charlotte Ferris,0,1411,1416,8,6,2,12/6/1998
47,1,FALSE,444,Maureen Delgado,0,1536,1507,11,1461,T A Sanders,0,1436,1442,10,7,2,12/6/1998
48,1,FALSE,444,Maureen Delgado,0,1536,1507,11,1315,Rhonda Roederer,0,1140,1225,12,10,2,12/6/1998
49,1,FALSE,447,Robin Lewis,0,1459,1443,14,479,Ruth Sawyer,0,1449,1411,19,1,2,12/6/1998
50,1,FALSE,447,Robin Lewis,0,1459,1443,14,3011,Scott Lucas,0,1407,1449,2,2,2,12/6/1998
51,1,FALSE,447,Robin Lewis,0,1459,1443,14,444,Maureen Delgado,0,1536,1507,11,4,2,12/6/1998
52,1,FALSE,447,Robin Lewis,0,1459,1443,14,1335,Charlotte Ferris,0,1411,1416,8,5,2,12/6/1998
53,1,FALSE,447,Robin Lewis,0,1459,1443,14,1461,T A Sanders,0,1436,1442,10,6,2,12/6/1998
54,1,FALSE,449,Judy Newhouse,0,1103,1095,3,2574,Waheed Thompson,0,1053,1036,10,1,3,12/6/1998
55,1,FALSE,449,Judy Newhouse,0,1103,1095,3,5945,Sylvia Setty,0,0,633,16,2,3,12/6/1998
56,1,FALSE,449,Judy Newhouse,0,1103,1095,3,482,Jane Tacker,0,960,958,9,3,3,12/6/1998
57,1,FALSE,449,Judy Newhouse,0,1103,1095,3,1712,Dave Rubin,0,883,873,11,6,3,12/6/1998
58,1,FALSE,449,Judy Newhouse,0,1103,1095,3,440,John Dalton,0,1093,1071,5,8,3,12/6/1998
59,1,FALSE,449,Judy Newhouse,0,1103,1095,3,720,Andrea Salinas,0,683,697,12,9,3,12/6/1998
60,1,FALSE,449,Judy Newhouse,0,1103,1095,3,452,Bruce Shuman,0,1002,1010,6,10,3,12/6/1998
61,1,FALSE,452,Bruce Shuman,0,1002,1010,6,5944,Henry Moses,0,500,573,15,3,3,12/6/1998
62,1,FALSE,452,Bruce Shuman,0,1002,1010,6,1712,Dave Rubin,0,883,873,11,4,3,12/6/1998
63,1,FALSE,452,Bruce Shuman,0,1002,1010,6,482,Jane Tacker,0,960,958,9,5,3,12/6/1998
64,1,FALSE,452,Bruce Shuman,0,1002,1010,6,2574,Waheed Thompson,0,1053,1036,10,8,3,12/6/1998
65,1,FALSE,452,Bruce Shuman,0,1002,1010,6,5945,Sylvia Setty,0,0,633,16,9,3,12/6/1998
66,1,FALSE,452,Bruce Shuman,0,1002,1010,6,5805,Lynne Murphy,0,855,936,7,11,3,12/6/1998
67,1,FALSE,454,Mary Rhoades,0,1676,1647,8,456,Mike Chitwood,0,1612,1600,9,1,1,12/6/1998
68,1,FALSE,454,Mary Rhoades,0,1676,1647,8,5766,Stephen Fierros,0,1647,1640,7,6,1,12/6/1998
69,1,FALSE,454,Mary Rhoades,0,1676,1647,8,429,Patricia Barrett,0,1915,1872,3,7,1,12/6/1998
70,1,FALSE,454,Mary Rhoades,0,1676,1647,8,441,Caesar Jaramillo,0,1622,1606,10,9,1,12/6/1998
71,1,FALSE,455,Carole Miller,0,1401,1310,24,2223,Karen Slaton,0,1209,1188,23,10,2,12/6/1998
72,1,FALSE,455,Carole Miller,0,1401,1310,24,2223,Karen Slaton,0,1209,1188,23,11,2,12/6/1998
73,1,FALSE,456,Mike Chitwood,0,1612,1600,9,441,Caesar Jaramillo,0,1622,1606,10,5,1,12/6/1998
74,1,FALSE,456,Mike Chitwood,0,1612,1600,9,435,Chris Cree,0,1840,1798,6,6,1,12/6/1998
75,1,FALSE,456,Mike Chitwood,0,1612,1600,9,1334,Nancy Scott,0,1537,1590,4,8,1,12/6/1998
76,1,FALSE,456,Mike Chitwood,0,1612,1600,9,441,Caesar Jaramillo,0,1622,1606,10,10,1,12/6/1998
77,1,FALSE,458,Jan Asuquo,0,1254,1255,15,455,Carole Miller,0,1401,1310,24,4,2,12/6/1998
78,1,TRUE,458,Jan Asuquo,0,1254,1255,15,2223,Karen Slaton,0,1209,1188,23,5,2,12/6/1998
79,1,TRUE,458,Jan Asuquo,0,1254,1255,15,465,Carl Hickerson,0,1307,1282,17,6,2,12/6/1998
80,1,FALSE,458,Jan Asuquo,0,1254,1255,15,491,Mary Lou Thurman,0,1224,1216,20,8,2,12/6/1998
81,1,FALSE,458,Jan Asuquo,0,1254,1255,15,477,Beulah Cooper,0,1396,1322,22,9,2,12/6/1998
82,1,FALSE,458,Jan Asuquo,0,1254,1255,15,491,Mary Lou Thurman,0,1224,1216,20,10,2,12/6/1998
83,1,FALSE,462,Lee Brooks,0,1377,1346,18,458,Jan Asuquo,0,1254,1255,15,3,2,12/6/1998
84,1,FALSE,462,Lee Brooks,0,1377,1346,18,477,Beulah Cooper,0,1396,1322,22,5,2,12/6/1998
85,1,FALSE,462,Lee Brooks,0,1377,1346,18,4209,Priscilla Fournet,0,1251,1250,21,6,2,12/6/1998
86,1,FALSE,462,Lee Brooks,0,1377,1346,18,4209,Priscilla Fournet,0,1251,1250,21,10,2,12/6/1998
87,1,FALSE,465,Carl Hickerson,0,1307,1282,17,455,Carole Miller,0,1401,1310,24,5,2,12/6/1998
88,1,FALSE,465,Carl Hickerson,0,1307,1282,17,2223,Karen Slaton,0,1209,1188,23,8,2,12/6/1998
89,1,FALSE,465,Carl Hickerson,0,1307,1282,17,462,Lee Brooks,0,1377,1346,18,9,2,12/6/1998
90,1,FALSE,465,Carl Hickerson,0,1307,1282,17,463,April McCarley,0,1185,1220,16,10,2,12/6/1998
91,1,FALSE,477,Beulah Cooper,0,1396,1322,22,465,Carl Hickerson,0,1307,1282,17,3,2,12/6/1998
92,1,FALSE,477,Beulah Cooper,0,1396,1322,22,455,Carole Miller,0,1401,1310,24,6,2,12/6/1998
93,1,FALSE,477,Beulah Cooper,0,1396,1322,22,463,April McCarley,0,1185,1220,16,7,2,12/6/1998
94,1,FALSE,479,Ruth Sawyer,0,1449,1411,19,455,Carole Miller,0,1401,1310,24,2,2,12/6/1998
95,1,FALSE,479,Ruth Sawyer,0,1449,1411,19,486,Thelma Litton,0,1209,1250,13,3,2,12/6/1998
96,1,FALSE,479,Ruth Sawyer,0,1449,1411,19,491,Mary Lou Thurman,0,1224,1216,20,7,2,12/6/1998
97,1,FALSE,479,Ruth Sawyer,0,1449,1411,19,444,Maureen Delgado,0,1536,1507,11,8,2,12/6/1998
98,1,FALSE,482,Jane Tacker,0,960,958,9,5946,Mark Setty,0,922,776,17,1,3,12/6/1998
99,1,FALSE,482,Jane Tacker,0,960,958,9,4412,Ivy Kaminsky,0,970,990,4,2,3,12/6/1998
100,1,FALSE,482,Jane Tacker,0,960,958,9,5805,Lynne Murphy,0,855,936,7,4,3,12/6/1998
101,1,FALSE,482,Jane Tacker,0,960,958,9,720,Andrea Salinas,0,683,697,12,7,3,12/6/1998
102,1,FALSE,482,Jane Tacker,0,960,958,9,5945,Sylvia Setty,0,0,633,16,8,3,12/6/1998
103,1,FALSE,486,Thelma Litton,0,1209,1250,13,491,Mary Lou Thurman,0,1224,1216,20,1,2,12/6/1998
104,1,FALSE,486,Thelma Litton,0,1209,1250,13,458,Jan Asuquo,0,1254,1255,15,7,2,12/6/1998
105,1,FALSE,486,Thelma Litton,0,1209,1250,13,455,Carole Miller,0,1401,1310,24,8,2,12/6/1998
106,1,FALSE,486,Thelma Litton,0,1209,1250,13,477,Beulah Cooper,0,1396,1322,22,10,2,12/6/1998
107,1,FALSE,486,Thelma Litton,0,1209,1250,13,465,Carl Hickerson,0,1307,1282,17,11,2,12/6/1998
108,1,FALSE,491,Mary Lou Thurman,0,1224,1216,20,2505,Harvey Wilson,0,1359,1372,9,2,2,12/6/1998
